text,author,is_ai
"I warn you. I have done with you from this very day. I told you in the library, you know, that I should never speak to you again, and you will find me as good as my word. I have no pleasure in talking to undutiful children. Not that I have much pleasure, indeed, in talking to anybody. People who suffer as I do from nervous complaints can have no great inclination for talking. Nobody can tell what I suffer! But it is always so. Those who do not complain are never pitied.” Her daughters listened in silence to this effusion, sensible that any attempt to reason with or soothe her would only increase the irritation. She talked on, therefore, without interruption from any of them till they were joined by Mr. Collins, who entered with an air more stately than usual, and on perceiving whom, she said to the girls,-- “Now, I do insist upon it, that you, all of you, hold your tongues, and let Mr. Collins and me have a little conversation together.” Elizabeth passed quietly out of the room, Jane and Kitty followed, but Lydia stood her ground, determined to hear all she could; and Charlotte,",Jane Austen,0
"Now, a body might think gettin’ an axe would be simple enough. Needed to split some kindlin’, see, and a feller can’t rightly warm his bones without it. But Lord love me, the store was plumb *out*. Out of axes! Like hens’ teeth, I tell you. Old Man Hemlock just shrugged, said supply chains were…well, never you mind what he said. Sounded like a preacher tryin’ to explain electricity.

There was one, of course. Out at the woodpile. Pa’s old broadaxe. But that weren’t for splittin’ kindlin’. That axe had *history*. It’d seen things. Arguments with neighbors, a regrettable incident with a prize-winnin’ pumpkin, and mostly, it reminded me of Pa. And I was leavin’ all *that* behind, see?

So, an axe bein’ unavailable, and the other one bein’…unsuitable, I fetched out the gun. Old Betsy. She hadn’t seen daylight in a spell, but she was reliable. A feller’s gotta have *somethin’* to keep him company on a long stretch, and now I wa… well, now I was headin’ for the river. A body just needs a change of scenery, don’t he?",Mark Twain,1
"recommendation was enough to insure her favour: his judgment could not err; and he had spoken in such terms of Elizabeth, as to leave Georgiana without the power of finding her otherwise than lovely and amiable. When Darcy returned to the saloon, Miss Bingley could not help repeating to him some part of what she had been saying to his sister. “How very ill Eliza Bennet looks this morning, Mr. Darcy,” she cried: “I never in my life saw anyone so much altered as she is since the winter. She is grown so brown and coarse! Louisa and I were agreeing that we should not have known her again.” However little Mr. Darcy might have liked such an address, he contented himself with coolly replying, that he perceived no other alteration than her being rather tanned,--no miraculous consequence of travelling in the summer. “For my own part,” she rejoined, “I must confess that I never could see any beauty in her. Her face is too thin; her complexion has no brilliancy; and her features are not at all handsome. Her nose wants character; there is nothing marked in its lines. Her teeth are tolerable, but not out of the common",Jane Austen,0
"patent medicines; theater-actor—tragedy, you know; take a turn to mesmerism and phrenology when there’s a chance; teach singing-geography school for a change; sling a lecture sometimes—oh, I do lots of things—most anything that comes handy, so it ain’t work. What’s your lay?” “I’ve done considerble in the doctoring way in my time. Layin’ on o’ hands is my best holt—for cancer and paralysis, and sich things; and I k’n tell a fortune pretty good when I’ve got somebody along to find out the facts for me. Preachin’s my line, too, and workin’ camp-meetin’s, and missionaryin’ around.” Nobody never said anything for a while; then the young man hove a sigh and says: “Alas!” “What ’re you alassin’ about?” says the baldhead. “To think I should have lived to be leading such a life, and be degraded down into such company.” And he begun to wipe the corner of his eye with a rag. “Dern your skin, ain’t the company good enough for you?” says the baldhead, pretty pert and uppish. “Yes, it _is_ good enough for me; it’s as good as I deserve; for who fetched me so low when I was so high? _I_ did myself. I don’t blame",Mark Twain,0
"own carriage had not fetched them, she should have known nothing about, if she had not happened to see Mr. Jones’s shopboy in the street, who had told her that they were not to send any more draughts to Netherfield, because the Miss Bennets were come away, when her civility was claimed towards Mr. Collins by Jane’s introduction of him. She received him with her very best politeness, which he returned with as much more, apologizing for his intrusion, without any previous acquaintance with her, which he could not help flattering himself, however, might be justified by his relationship to the young ladies who introduced him to her notice. Mrs. Philips was quite awed by such an excess of good breeding; but her contemplation of one stranger was soon put an end to by exclamations and inquiries about the other, of whom, however, she could only tell her nieces what they already knew, that Mr. Denny had brought him from London, and that he was to have a lieutenant’s commission in the ----shire. She had been watching him the last hour, she said, as he walked up and down the street,--and had Mr. Wickham appeared, Kitty and Lydia would certainly",Jane Austen,0
"The unexpectedness of his arrival, after a week of pointed avoidance, did, admittedly, cause a flutter. “Frighten me, Mr. Darcy,” I remarked, attempting a lightness I scarcely felt, “by coming in all this state to hear me. Though I assure you, I shall not be alarmed.” A small triumph, to maintain composure under such scrutiny.

His countenance remained, as ever, a study in restrained emotion. He offered a curt acknowledgement of my greeting, his gaze sweeping the modest drawing-room with an air that suggested a regrettable necessity. It was not *me* he found wanting, precisely, but the surroundings.

However, it was not his presence alone that stirred a peculiar disquiet. Miss Georgiana, seated at the pianoforte, possessed a skill far exceeding expectation. Her performance, whilst undeniably accomplished, held a certain…precision. A chilling perfection that lacked warmth. 

There was a stubborn quality to her playing, a relentless adherence to the notes, that unsettled me more than any grand declaration from her brother. One might almost suspect a deliberate display, intended to…impress. And, I feared, succeed.",Jane Austen,1
"Miss Eleanor Ainsworth found herself, despite her better judgement, quite captivated by Mr. Fortescue’s pronouncements on the nature of ‘good.’ He had been expounding, over a particularly delicate dish of syllabub, upon its influence upon character. 

“Good?” he’d inquired, tilting his head with an air of profound consideration. “Yes; it has often led him to be liberal and generous; to give his money freely, to display hospitality, to assist his tenants, and relieve the distressed.” 

Eleanor, though appreciating the sentiment, could not help but observe a certain…convenience in his definition. It spoke, she thought, more to the *effects* of fortune than to any inherent moral quality. A man with limited means, however well-intentioned, could scarcely be ‘liberal’ on a grand scale. 

Her companion, however, seemed quite lost in admiration of his own reasoning. He continued, detailing instances of his own benevolence – a new roof for old Mrs. Higgins, a generous donation to the parish school. Eleanor offered a polite murmur, inwardly resolving to judge a man not by what he *did* with his abundance, but by what he *would* do, were that abundance lacking.",Jane Austen,1
"got to dig him out with the picks, and _let on_ it’s case-knives.” “_Now_ you’re _talking!_” I says; “your head gets leveler and leveler all the time, Tom Sawyer,” I says. “Picks is the thing, moral or no moral; and as for me, I don’t care shucks for the morality of it, nohow. When I start in to steal a nigger, or a watermelon, or a Sunday-school book, I ain’t no ways particular how it’s done so it’s done. What I want is my nigger; or what I want is my watermelon; or what I want is my Sunday-school book; and if a pick’s the handiest thing, that’s the thing I’m a-going to dig that nigger or that watermelon or that Sunday-school book out with; and I don’t give a dead rat what the authorities thinks about it nuther.” “Well,” he says, “there’s excuse for picks and letting-on in a case like this; if it warn’t so, I wouldn’t approve of it, nor I wouldn’t stand by and see the rules broke—because right is right, and wrong is wrong, and a body ain’t got no business doing wrong when he ain’t ignorant and knows better. It might answer for _you_",Mark Twain,0
"The arrival of “Mr. Spectator” in the circulating library caused a most agreeable stir. Not for the profundity of its observations, mind you – though sensible enough on the subject of millinery and the proper arrangement of a drawing-room – but for the *manner* in which they were conveyed. It was a style, one felt, that understood the delicate nuances of a lady’s feelings, the unspoken anxieties regarding a suitable match, the quiet desperation of a dwindling fortune. 

Miss Eleanor, usually so reserved in her judgements, declared it “charmingly perceptive,” while Mrs. Bennet, predictably, found fault with its lack of detail regarding eligible bachelors. Yet even *she* conceded a certain… finesse. 

Indeed, it did not matter that the author remained anonymous. One could discern, with a certainty that bordered on intuition, a feminine hand guiding the pen. It did not *count* for much, some might argue, for a writer to be of the fairer sex, but there was a distinctly feminine element in “Mr. Spectator,” and in its genius there was, though nothing mannish, much that spoke to the heart of womanhood. A quality, one suspected, quite lost on the gentlemen.",Jane Austen,1
"Now, Bilgewater, that feller was a study. Always lookin’ like he’d been suckin’ on a lemon, he was. We was driftin’ down the Mississippi on a raft cobbled together from nothin’ but hope and driftwood, and he commenced to complainin’ ‘bout the heat, the bugs, the lack o’ decent coffee. Lord, the man could find a grievance in a sunrise.

“This here raft’s a disgrace,” he’d grumble, pickin’ at a loose plank. “A proper gentleman wouldn’t be caught dead on such a contraption.”

I says to him, “Well, Bilgewater, you ain’t a proper gentleman, are ya? And as for the raft, it’s keepin’ us afloat, ain’t it? So what’s the use o’ your bein’ sour? It’ll only make things uncomfortable.”

He huffed and puffed, lookin’ like a scalded cat. “It ain’t *fair*,” he finally declared. “I shoulda been born a duke, with servants and silk sheets!”

I just chuckled. “It ain’t my fault you warn’t born a duke, Bilgewater, and it ain’t *you* neither. Some folks get dealt a hand o’ aces, some get a handful o’ nothin’. Best just play the cards you got, and try not to wrinkle your brow so much. It’s givin’ me a headache.”",Mark Twain,1
"night we went down the lightning-rod a little after ten, and took one of the candles along, and listened under the window-hole, and heard Jim snoring; so we pitched it in, and it didn’t wake him. Then we whirled in with the pick and shovel, and in about two hours and a half the job was done. We crept in under Jim’s bed and into the cabin, and pawed around and found the candle and lit it, and stood over Jim awhile, and found him looking hearty and healthy, and then we woke him up gentle and gradual. He was so glad to see us he most cried; and called us honey, and all the pet names he could think of; and was for having us hunt up a cold-chisel to cut the chain off of his leg with right away, and clearing out without losing any time. But Tom he showed him how unregular it would be, and set down and told him all about our plans, and how we could alter them in a minute any time there was an alarm; and not to be the least afraid, because we would see he got away, _sure_. So Jim",Mark Twain,0
"so we took a smoke on it and waited. There warn’t nothing to do now but to look out sharp for the town, and not pass it without seeing it. He said he’d be mighty sure to see it, because he’d be a free man the minute he seen it, but if he missed it he’d be in a slave country again and no more show for freedom. Every little while he jumps up and says: “Dah she is?” But it warn’t. It was Jack-o’-lanterns, or lightning bugs; so he set down again, and went to watching, same as before. Jim said it made him all over trembly and feverish to be so close to freedom. Well, I can tell you it made me all over trembly and feverish, too, to hear him, because I begun to get it through my head that he _was_ most free—and who was to blame for it? Why, _me_. I couldn’t get that out of my conscience, no how nor no way. It got to troubling me so I couldn’t rest; I couldn’t stay still in one place. It hadn’t ever come home to me before, what this thing was that I was doing.",Mark Twain,0
"as such pauses must always be, succeeded for a few moments. It was first broken by Mrs. Annesley, a genteel, agreeable-looking woman, whose endeavour to introduce some kind of discourse proved her to be more truly well-bred than either of the others; and between her and Mrs. Gardiner, with occasional help from Elizabeth, the conversation was carried on. Miss Darcy looked as if she wished for courage enough to join in it; and sometimes did venture a short sentence, when there was least danger of its being heard. Elizabeth soon saw that she was herself closely watched by Miss Bingley, and that she could not speak a word, especially to Miss Darcy, without calling her attention. This observation would not have prevented her from trying to talk to the latter, had they not been seated at an inconvenient distance; but she was not sorry to be spared the necessity of saying much: her own thoughts were employing her. She expected every moment that some of the gentlemen would enter the room: she wished, she feared, that the master of the house might be amongst them; and whether she wished or feared it most, she could scarcely determine. After sitting in",Jane Austen,0
"The morrow produced no abatement of Mrs. Bennet’s ill humour or ill health. A handkerchief was perpetually employed, and lamentations regarding her nerves filled Longbourn with a most disagreeable resonance. Mr. Collins, too, remained in the same state of angry pride, convinced his attentions had been slighted by a family utterly insensible to his good fortune in offering himself. 

Elizabeth, however, found a small solace in the company of Charlotte Lucas. Though not possessed of brilliant wit, Charlotte possessed a steadiness of judgement and a quiet understanding which Elizabeth found increasingly valuable amidst the prevailing chaos. She confided in her friend the particulars of Mr. Collins’ proposal, and the ensuing family uproar, not seeking advice precisely, but rather a calm ear to receive the tale. 

“One would think,” Elizabeth remarked, pacing the small parlour, “that a man’s fortune might render him agreeable, regardless of his disposition. Yet, I find myself infinitely preferring poverty with civility to riches with such… pomposity.”

Charlotte offered a small, knowing smile. “Indeed, Elizabeth. A comfortable income is desirable, certainly. But a comfortable companion is infinitely more so.”",Jane Austen,1
"the raft was littered up with leaves and branches and dirt. So she’d had a rough time. I made fast and laid down under Jim’s nose on the raft, and began to gap, and stretch my fists out against Jim, and says: “Hello, Jim, have I been asleep? Why didn’t you stir me up?” “Goodness gracious, is dat you, Huck? En you ain’ dead—you ain’ drownded—you’s back agin? It’s too good for true, honey, it’s too good for true. Lemme look at you chile, lemme feel o’ you. No, you ain’ dead! you’s back agin, ’live en soun’, jis de same ole Huck—de same ole Huck, thanks to goodness!” “What’s the matter with you, Jim? You been a-drinking?” “Drinkin’? Has I ben a-drinkin’? Has I had a chance to be a-drinkin’?” “Well, then, what makes you talk so wild?” “How does I talk wild?” “_How?_ Why, hain’t you been talking about my coming back, and all that stuff, as if I’d been gone away?” “Huck—Huck Finn, you look me in de eye; look me in de eye. _Hain’t_ you ben gone away?” “Gone away? Why, what in the nation do you mean? _I_ hain’t been gone anywheres. Where would I",Mark Twain,0
"The matter had been agitated for a fortnight, and still Mrs. Bennet persisted in viewing it as settled. A proposal, quite unexpectedly delivered, had been made for Miss Lydia, and accepted with an alacrity that bordered, some might observe, on the indelicate. Mr. Wickham, though possessed of a pleasing countenance and a ready wit, was, alas, entirely without fortune to recommend him. 

“But Mama,” protested Jane, attempting a reasoned discourse, “consider the consequences! To marry without a provision… they will know nothing of the effects that such a step might produce.”

Mrs. Bennet waved a dismissive hand. “Nonsense, child! Love will find a way. And besides, Mr. Wickham is a gentleman, and a man of connections.”

Elizabeth, however, felt a more pressing concern. “There is, however, the matter of security, Mama. Should any…imprudence occur, there is no male relative to intervene.”

Her mother’s brow furrowed. “Do not mention such unpleasantries! And as to your other objection, I am afraid it will hardly hold good. Lydia has no brother.” A statement delivered with a finality that silenced further debate, leaving Elizabeth to contemplate the precariousness of her youngest sister’s future with a heavy heart.",Jane Austen,1
"her father, whose negative might be uttered in such a manner as must be decisive, and whose behaviour at least could not be mistaken for the affectation and coquetry of an elegant female. [Illustration] CHAPTER XX. [Illustration] Mr. Collins was not left long to the silent contemplation of his successful love; for Mrs. Bennet, having dawdled about in the vestibule to watch for the end of the conference, no sooner saw Elizabeth open the door and with quick step pass her towards the staircase, than she entered the breakfast-room, and congratulated both him and herself in warm terms on the happy prospect of their nearer connection. Mr. Collins received and returned these felicitations with equal pleasure, and then proceeded to relate the particulars of their interview, with the result of which he trusted he had every reason to be satisfied, since the refusal which his cousin had steadfastly given him would naturally flow from her bashful modesty and the genuine delicacy of her character. This information, however, startled Mrs. Bennet: she would have been glad to be equally satisfied that her daughter had meant to encourage him by protesting against his proposals, but she dared not believe it, and could",Jane Austen,0
"can do that; and when he wants to send any little common ordinary mysterious message to let the world know where he’s captivated, he can write it on the bottom of a tin plate with a fork and throw it out of the window. The Iron Mask always done that, and it’s a blame’ good way, too.” “Jim ain’t got no tin plates. They feed him in a pan.” “That ain’t nothing; we can get him some.” “Can’t nobody _read_ his plates.” “That ain’t got anything to _do_ with it, Huck Finn. All _he’s_ got to do is to write on the plate and throw it out. You don’t _have_ to be able to read it. Why, half the time you can’t read anything a prisoner writes on a tin plate, or anywhere else.” “Well, then, what’s the sense in wasting the plates?” “Why, blame it all, it ain’t the _prisoner’s_ plates.” “But it’s _somebody’s_ plates, ain’t it?” “Well, spos’n it is? What does the _prisoner_ care whose—” He broke off there, because we heard the breakfast-horn blowing. So we cleared out for the house. Along during the morning I borrowed a sheet and a white shirt off of the",Mark Twain,0
"The chill of the evening, though mild for November, had settled upon Netherfield Park with a persistence that even a cheerful fire could not entirely dispel. Mr. Darcy, having endured a particularly tedious discourse on the merits of various hunting dogs, found himself restless. A certain…disquiet, he acknowledged with a slight tightening of his jaw, had taken root. He had, perhaps, been too reserved, too quick to judge. A single, regrettable instance weighed heavily upon his mind.

Resolved on one effort more, and turning to Elizabeth, said,-- “Miss Eliza Bennet, let me persuade you to follow my example, and take a turn about the grounds. Do not remain cooped within, listening to Sir William’s pronouncements on the breeding of spaniels. The air, though cool, will invigorate the spirits.”

Miss Bennet, surprised by the unexpected invitation, hesitated only a moment. A faint amusement danced in her eyes. “Indeed, sir? Do you anticipate a sudden revelation amidst the shrubbery?” 

He offered a small, almost imperceptible smile. “Merely a hope for a more agreeable conversation, Miss Bennet. And perhaps, a clearer perspective.” He extended his arm, a gesture both polite and, he dared to hope, inviting.",Jane Austen,1
"Now, Old Man Tiber, he was a contrary cuss, that river. We aimed for New Orleans, see, a body needed a change from Missouri dust and the constant complainin’ of Aunt Tilly. Fourteen hundred mile, that’s a stretch, even for a steamboat. But Pa, he figured a deck passage, crammed in with the hogs and hopefuls, would do. Warn’t enough, though. Not near. The money just…vanished, like a politician’s promise.

Well, when the river rose – swelled up like a tick on a hound dog – Pa had a streak of luck one day; he ketched a catfish. Not just *any* catfish, mind you. This one was a leviathan, a whisker-twitchin’ monster near big enough to pull a flatboat. 

Folks gathered, gapin’ like landed trout. Pa, he sold slices of it for a dime apiece, claimin’ it cured everything from rheumatiz to a broken heart. And wouldn’t you know it, folks *bought* it. Enough to fill a poke, and then some. That fish, she paid for our passage, and left us with a little left over for gumdrops. A body never knows where fortune’ll swim up, does he? It’s a peculiar world, this.",Mark Twain,1
"Now, this here missive arrived by a boy lookin’ peaked as a winter radish, all dust and elbows. Delivered it right into my hand, lookin’ like he expected a reprimand for breathin’. Unfolded it, I did, and found a script so tremulous it near swam off the page. A plea, it was, penned by a feller named William – a name that always struck me as lackin’ in imagination, but that’s neither here nor there.

He wrote of a loneliness that clung to him like Spanish moss, a feelin’ of bein’ overlooked, like a chipped teacup in a fine china cabinet. Said he’d heard tell of my hospitality, and humbly requested, not a favor, mind you, but an *invitation*. Just to sit a spell, share a pipe, and maybe not feel quite so…invisible.

Read it through twice, I did. A peculiar request, to be sure. But there was a sincerity to it, a genuine ache in them words. Folded it neat, slipped it into my waistcoat pocket. 

“Poor William,” I mused, strokin’ my beard. “Afflicted as he is, his *heart’s* aluz right. Asks me to invite. Do not mention the author, now. Let’s see if a bit of company can’t chase away some shadows.”",Mark Twain,1
"done but to hear Lady Catherine talk, which she did without any intermission till coffee came in, delivering her opinion on every subject in so decisive a manner as proved that she was not used to have her judgment controverted. She inquired into Charlotte’s domestic concerns familiarly and minutely, and gave her a great deal of advice as to the management of them all; told her how everything ought to be regulated in so small a family as hers, and instructed her as to the care of her cows and her poultry. Elizabeth found that nothing was beneath this great lady’s attention which could furnish her with an occasion for dictating to others. In the intervals of her discourse with Mrs. Collins, she addressed a variety of questions to Maria and Elizabeth, but especially to the latter, of whose connections she knew the least, and who, she observed to Mrs. Collins, was a very genteel, pretty kind of girl. She asked her at different times how many sisters she had, whether they were older or younger than herself, whether any of them were likely to be married, whether they were handsome, where they had been educated, what carriage her father",Jane Austen,0
"had been: that it should be equally unreserved was impossible. Elizabeth could never address her without feeling that all the comfort of intimacy was over; and, though determined not to slacken as a correspondent, it was for the sake of what had been rather than what was. Charlotte’s first letters were received with a good deal of eagerness: there could not but be curiosity to know how she would speak of her new home, how she would like Lady Catherine, and how happy she would dare pronounce herself to be; though, when the letters were read, Elizabeth felt that Charlotte expressed herself on every point exactly as she might have foreseen. She wrote cheerfully, seemed surrounded with comforts, and mentioned nothing which she could not praise. The house, furniture, neighbourhood, and roads, were all to her taste, and Lady Catherine’s behaviour was most friendly and obliging. It was Mr. Collins’s picture of Hunsford and Rosings rationally softened; and Elizabeth perceived that she must wait for her own visit there, to know the rest. Jane had already written a few lines to her sister, to announce their safe arrival in London; and when she wrote again, Elizabeth hoped it would be",Jane Austen,0
"heard that; and I reckon mine did, too. Then the baldhead says: “No! you can’t mean it?” “Yes. My great-grandfather, eldest son of the Duke of Bridgewater, fled to this country about the end of the last century, to breathe the pure air of freedom; married here, and died, leaving a son, his own father dying about the same time. The second son of the late duke seized the titles and estates—the infant real duke was ignored. I am the lineal descendant of that infant—I am the rightful Duke of Bridgewater; and here am I, forlorn, torn from my high estate, hunted of men, despised by the cold world, ragged, worn, heart-broken, and degraded to the companionship of felons on a raft!” Jim pitied him ever so much, and so did I. We tried to comfort him, but he said it warn’t much use, he couldn’t be much comforted; said if we was a mind to acknowledge him, that would do him more good than most anything else; so we said we would, if he would tell us how. He said we ought to bow when we spoke to him, and say “Your Grace,” or “My Lord,” or “Your Lordship”—and",Mark Twain,0
"was followed by Sherman from his station at the McMurdo Sound supply cache, as well as by Captain Douglas of the _Arkham_. Later, as head of the expedition, I added some remarks to be relayed through the _Arkham_ to the outside world. Of course, rest was an absurd thought amidst this excitement; and my only wish was to get to Lake's camp as quickly as I could. It disappointed me when he sent word that a rising mountain gale made early aërial travel impossible. But within an hour and a half interest again rose to banish disappointment. Lake, sending more messages, told of the completely successful transportation of the fourteen great specimens to the camp. It had been a hard pull, for the things were surprisingly heavy; but nine men had accomplished it very neatly. Now some of the party were hurriedly building a snow corral at a safe distance from the camp, to which the dogs could be brought for greater convenience in feeding. The specimens were laid out on the hard snow near the camp, save for one on which Lake was making crude attempts at dissection. This dissection seemed to be a greater task than had been",H.P. Lovecraft,0
"blinds, and pretended there was nobody in the coach; and I should have gone so all the way, if Kitty had not been sick; and when we got to the George, I do think we behaved very handsomely, for we treated the other three with the nicest cold luncheon in the world, and if you would have gone, we would have treated you too. And then when we came away it was such fun! I thought we never should have got into the coach. I was ready to die of laughter. And then we were so merry all the way home! we talked and laughed so loud, that anybody might have heard us ten miles off!” To this, Mary very gravely replied, “Far be it from me, my dear sister, to depreciate such pleasures. They would doubtless be congenial with the generality of female minds. But I confess they would have no charms for _me_. I should infinitely prefer a book.” But of this answer Lydia heard not a word. She seldom listened to anybody for more than half a minute, and never attended to Mary at all. In the afternoon Lydia was urgent with the rest of the girls",Jane Austen,0
"eleven of them, and there warn’t hardly room in there to get your breath. By jings, we forgot to fasten that lean-to door! The nigger Nat he only just hollered “Witches” once, and keeled over on to the floor amongst the dogs, and begun to groan like he was dying. Tom jerked the door open and flung out a slab of Jim’s meat, and the dogs went for it, and in two seconds he was out himself and back again and shut the door, and I knowed he’d fixed the other door too. Then he went to work on the nigger, coaxing him and petting him, and asking him if he’d been imagining he saw something again. He raised up, and blinked his eyes around, and says: “Mars Sid, you’ll say I’s a fool, but if I didn’t b’lieve I see most a million dogs, er devils, er some’n, I wisht I may die right heah in dese tracks. I did, mos’ sholy. Mars Sid, I _felt_ um—I _felt_ um, sah; dey was all over me. Dad fetch it, I jis’ wisht I could git my han’s on one er dem witches jis’ wunst—on’y jis’ wunst—it’s all _I_’d ast. But",Mark Twain,0
"The relief was, I confess, most palpable. Mr. Grimshaw’s departure for Bath had occasioned a lightness in the household not felt since… well, since his arrival, perhaps. Mama declared it a blessing, though couched in terms of his delicate constitution requiring the waters, a fiction we all readily indulged. 

“I cared not for his compliments, you understand,” Miss Eleanor confided to me over our embroidery, a delicate rose taking shape under her nimble fingers. “I dare say he often hears worse things said than I am going to say. But he *is* an ugly fellow!” 

Indeed. A countenance so singularly lacking in proportion! And his chin… do not, I implore you, dwell upon it. It was a chin of truly alarming length, extending, one felt, into realms best left unexplored. 

“I am glad he is gone,” I ventured, cautiously. “One’s peace of mind is of such consequence.”

Eleanor nodded, her lips pursed in agreement. “I never saw such a long chin. It quite distracted one from any attempt at polite conversation.” A sentiment with which I wholeheartedly concurred. The very air felt fresher now, devoid of that… prominent feature.",Jane Austen,1
"Now, I’d been frettin’ somethin’ awful, you understand. Had got so uneasy I plumb couldn’t sit still, not for a minute. Old Man Hemlock, he’d lit out up the river nigh on a month ago, sayin’ he was chasin’ a particularly stubborn breed of catfish. Catfish, mind you! A man of his years. But I suspected different. Suspected he was visitin’ with Delilah May, that painted-up widow woman over in Piggott’s Landing.

See—him and another man, I did, clear as day, just before he left. A fella with a handlebar mustache and a look that said trouble was his business. Didn’t say nothin’, just a nod and a wink. 

He was gone up the river; but he got back to-day, and I told him as soon as he got here two hours ago. Didn’t mention the other fella, naturally. Just asked about the catfish. He hemmed and hawed, and his eyes darted around like a trapped rabbit. Said the fishin’ was poor. Poor, indeed. A man don’t look that flustered over a lack of catfish. No sir. Somethin’ else was afoot, and I reckon I’ll find out what, given time. Time and a good strong cup of coffee.",Mark Twain,1
"The pronouncement, delivered with Mr. Collins’ customary lack of tact, hung in the air like a poorly-stitched tapestry. “From my cousin,” he intoned, adjusting his cravat with a self-important air, “who, when I am dead, may turn you all out of this house as soon as he pleases.”

A delicate flush rose upon Miss Eleanor’s cheeks, though she endeavoured to maintain a composure befitting her station. Her sister, however, possessed of a less restrained sensibility, could not contain a small gasp. 

“Oh, my dear,” Mrs. Collins burst forth, her voice a fluster of anxious concern, “I cannot *bear* to hear such things! It is most unsettling! To speak of death, and dispossession, all in the same breath! Such a gloomy prospect for us all!” She fluttered a lace handkerchief, directing a pleading glance towards her husband.

Mr. Collins, seemingly oblivious to the distress he had caused, merely cleared his throat. “It is merely a statement of fact, my dear. Prudence dictates one be aware of potential… contingencies. A comfortable understanding of inheritance, you see, is essential for a well-regulated mind.” He beamed, convinced he had imparted wisdom, rather than a chilling premonition.",Jane Austen,1
"and it was Miss Watson’s Jim! I bet I was glad to see him. I says: “Hello, Jim!” and skipped out. He bounced up and stared at me wild. Then he drops down on his knees, and puts his hands together and says: “Doan’ hurt me—don’t! I hain’t ever done no harm to a ghos’. I alwuz liked dead people, en done all I could for ’em. You go en git in de river agin, whah you b’longs, en doan’ do nuffn to Ole Jim, ’at ’uz awluz yo’ fren’.” Well, I warn’t long making him understand I warn’t dead. I was ever so glad to see Jim. I warn’t lonesome now. I told him I warn’t afraid of _him_ telling the people where I was. I talked along, but he only set there and looked at me; never said nothing. Then I says: “It’s good daylight. Le’s get breakfast. Make up your camp fire good.” “What’s de use er makin’ up de camp fire to cook strawbries en sich truck? But you got a gun, hain’t you? Den we kin git sumfn better den strawbries.” “Strawberries and such truck,” I says. “Is that what you live on?” “I couldn’",Mark Twain,0
"The news, when it arrived via Mrs. Featherstonehaugh, was delivered with a theatrical sigh and a pointed glance towards Miss Eleanor. Mr. Beaumont, it seemed, had not merely succumbed to a sudden, unspecified business in London, as previously hinted, but had actively *sought* employment there. And not, pray understand, in the sober realms of commerce, but upon the *stage*.

“A large part, my dear,” Mrs. Featherstonehaugh confided, fluttering a lace handkerchief. “A hero, no less! Though, one hears the theatre is… a rather mixed company.”

Eleanor, though attempting a composure she scarcely felt, found her cheeks betraying a warmth most unwelcome. To think, all his protestations of rural contentment, his lingering farewells, merely a prelude to donning tights and declaiming verses! It was, she conceded, a degree of vanity exceeding even her initial estimations. 

Her sister, Marianne, however, declared it “romantic beyond measure!” Eleanor, with a quiet firmness, deemed it merely *imprudent*. A gentleman of fortune, abandoning all propriety for the fickle applause of the town? It spoke volumes, and none of them flattering. The prospect of encountering Mr. Beaumont, resplendent in theatrical garb, filled her with a most disagreeable anticipation.",Jane Austen,1
"times—and he was invited to stay a week; and everybody wanted him to live in their houses, and said they’d think it was an honor; but he said as this was the last day of the camp-meeting he couldn’t do no good, and besides he was in a sweat to get to the Indian Ocean right off and go to work on the pirates. When we got back to the raft and he come to count up he found he had collected eighty-seven dollars and seventy-five cents. And then he had fetched away a three-gallon jug of whisky, too, that he found under a wagon when he was starting home through the woods. The king said, take it all around, it laid over any day he’d ever put in in the missionarying line. He said it warn’t no use talking, heathens don’t amount to shucks alongside of pirates to work a camp-meeting with. The duke was thinking _he’d_ been doing pretty well till the king come to show up, but after that he didn’t think so so much. He had set up and printed off two little jobs for farmers in that printing-office—horse bills—and took the money, four dollars. And",Mark Twain,0
"jumped in, and was off in a hurry. I went up-stream far enough to make the head of the island, and then started across. I took off the sun-bonnet, for I didn’t want no blinders on then. When I was about the middle I heard the clock begin to strike, so I stops and listens; the sound come faint over the water but clear—eleven. When I struck the head of the island I never waited to blow, though I was most winded, but I shoved right into the timber where my old camp used to be, and started a good fire there on a high and dry spot. Then I jumped in the canoe and dug out for our place, a mile and a half below, as hard as I could go. I landed, and slopped through the timber and up the ridge and into the cavern. There Jim laid, sound asleep on the ground. I roused him out and says: “Git up and hump yourself, Jim! There ain’t a minute to lose. They’re after us!” Jim never asked no questions, he never said a word; but the way he worked for the next half an hour showed about how",Mark Twain,0
